Course Name,Course Description,Credits
ACTG 211, Intro Accounting I,4.00
+ Lab,10478,0,19,1800-1950,tr,283M LA,Franco E,8A
ARTD 251, Time-Based Digit Arts,4.00
Lecture,10479,10,119,1200-1350,w,115 LA,Warren T,$8A
+ Lab,10480,1,20,1200-1350,tr,283M LA,Pettersen J,8A
+ Lab,10481,1,20,1400-1550,tr,283M LA,Pettersen J,8A
+ Lab,10482,3,19,1000-1150,mw,383 LA,Liu X,8A
+ Lab,10483,2,20,1400-1550,mw,383 LA,Liu X,8A
+ Lab,10484,0,20,1600-1750,mw,383 LA,O'Shea E,8A
+ Lab,10485,3,20,1800-1950,mw,383 LA,O'Shea E,8A
ARTD 350, Digital Drawing,4.00
 ,10486,5,18,1500-1750,mw,113A MR1,Kripper K,!$8A
 ,15665,3,18,0900-1150,mw,306 ALL,Ching I,!$8A
ARTD 360, Digital Imaging,4.00
 ,10488,5,18,0900-1150,tr,283M LA,Ali H,!$8A
 ,10489,5,18,1500-1750,tr,113A MR1,Kripper K,!$8A
 ,15666,5,18,1800-2050,mw,113A MR1,Bagby J,!$8A
ARTD 361, Intro to Animation,4.00
 ,10490,1,21,1200-1450,mw,113 MR1,Ching I,!$8A
ARTD 362, Digital Letterform,4.00
 ,10491,0,18,0900-1150,mw,113 MR1,Bray M,!$8A
ARTD 370, Digital Interactivity,4.00
 ,10492,1,18,0900-1150,tr,125 MR2,Park J,!$8A
ARTD 379, Intro to Video Art,4.00
 ,10493,1,18,1200-1450,mw,306 ALL,Bray M,!$8A
ARTD 405, Special Problems,1.00-12.00
 ,10494,17,20,tba,tba,tba,STAFF,
ARTD 410, Net Art,4.00
 ,10495,0,16,0900-1150,mw,113A MR1,Silva R,!$8A
ARTD 410, Interactive Video,4.00
 ,10496,3,16,1200-1450,tr,124 MR2,Ives C,$8A
ARTD 410, Game Art,4.00
 ,10497,0,16,1200-1450,mw,113A MR1,Silva R,!$8A
ARTD 410, Data Visualization,4.00
 ,10498,1,16,1500-1750,mw,124 MR2,Park J,!$8A
ARTD 463, Communication Design,4.00
 ,10500,0,17,0900-1150,tr,114 MR1,Salter M,!$A
ARTF 270, Top Intro to Fibers,4.00
 ,10507,0,15,0900-1150,tr,110 MR1,Lee S,!$8A
ARTF 369, Woven Structures,4.00
 ,10508,5,15,1200-1450,tr,110 MR1,Campbell A,!$8A
ARTF 370, Stitchwork Strategies,4.00
ARTM 257, Intro Jewel & Metals,4.00
 ,10510,0,18,0900-1150,tr,101C ART,Webb C,!$8A
ARTM 357, Top Production,4.00
 ,10511,5,18,1200-1450,tr,101C ART,Webb C,!$8A
ARTM 457, Top Adv Production,4.00
 ,10512,5,18,1200-1450,tr,101C ART,Webb C,!$8A
ARTM 459, Adv Metal & Jewelry,3.00-5.00
 ,10513,5,18,1200-1450,tr,101C ART,Webb C,!$8A
ARTO 250, Intro to Photography,4.00
 ,10516,0,16,0900-1150,tr,113A MR1,Jude R,!$8A
 ,10517,3,16,1800-2050,mw,113 MR1,Gordon C,!$8A
ARTO 350, Film and Darkroom,4.00
 ,10518,0,15,1200-1450,tr,157 MR3,Choquette C,!$8A
ARTO 410, Studio Lighting,4.00
 ,15667,1,16,1500-1750,mw,157 MR3,Bagby J,$8A
ARTO 455, Conceptual Strat Photo,4.00
 ,10519,0,17,1500-1750,tr,157 MR3,Choquette C,!$8A
ARTP 281, Intro Painting I,4.00
 ,10521,0,18,0900-1150,tr,151 LA,Langley E,!$A
ARTP 381, Intro Painting II,4.00
 ,10522,0,18,1200-1450,mw,151 LA,Rey M,!$8A
ARTP 390, Interm/Adv Painting,4.00
 ,15668,8,18,0900-1150,mw,151 LA,Lionni S,!$8A
ARTP 391, Interm/Adv Drawing,4.00
 ,10523,2,18,1200-1450,tr,290 LA,Vandenburgh L,!$8A
ARTR 245, Intro to Printmaking,4.00
 ,10524,0,16,0900-1150,mw,156 LA,Boyd M,!$8A
ARTR 346, Relief,4.00
 ,10525,0,16,0900-1150,tr,156 LA,Liu C,!$8A
ARTS 288, Sculpt I: Mixed Media,4.00
 ,10526,0,15,1200-1450,mw,104A ART,Hughes L,!$8A
ARTS 393, Top Bodies,4.00
 ,10527,5,15,0830-1120,mw,104A ART,Hughes L,!$8A
ARTS 491, Top Color & Abstract,4.00
 ,10528,7,15,1200-1450,tr,104A ART,Wojick A,!$8A
ASIA 111, Great Books Mod Asia >1 >GP >IC,4.00
 ,10530,1,40,1600-1720,tr,242 GER,Buck D,!U
ASIA 399, Sp St Jpn Pop Culture,4.00
 ,16066,5,50,1000-1120,tr,166 LA,Freedman A,!9U
